Home,Away,Date,YouTube
"FCKC","HOU","2014-5-18","UvL82CwQX8I"
"BOS","CRS","2014-5-18","bYhRz5Al6Ac"
"WAS","SBFC","2014-5-21","PbuCOTWx5lo"
"FCKC","SRFC","2014-5-21","sCA2v38XiT0"
"PTFC","WNYF","2014-5-21","aPWoEWmC3Fs"
"HOU","CRS","2014-5-23","1bc_ZT5eul0"
"PTFC","SBFC","2014-5-24","9BtmI5Osh8A"
"BOS","FCKC","2014-5-25","GknJ-j6beTM"
"SRFC","WNYF","2014-5-25","n_a586Ve6sw"
"WAS","HOU","2014-5-26","Eo52Y0MEqVY"
"BOS","PTFC","2014-5-28","h2yLAahdfCM"
"SBFC","CRS","2014-5-28","DyrKKar9rzs"
"WNYF","HOU","2014-5-31","bqc7n_iagGw"
"SBFC","SRFC","2014-6-1","jifogC4uTGs"
"BOS","WAS","2014-6-1","7TsNknJ3_2M"
"CRS","WAS","2014-6-4","hqpbhlx0__c"
"FCKC","WNYF","2014-6-4","eAhNDQUPK68"
"FCKC","BOS","2014-6-7","pokAuiFzhWw"
"SRFC","CRS","2014-6-7","bqH3hR_eecM"
"PTFC","WNYF","2014-6-7","zzHMTSMFYLM"
"SBFC","HOU","2014-6-8","HtKzSRVj2QE"
"BOS","WAS","2014-6-11","m095i__kbjw"
"HOU","WNYF","2014-6-11","z1O3XsB-U4o"
"HOU","FCKC","2014-6-14","35DC0vpi8xM"
"CRS","SBFC","2014-6-15","mvxXYB6OYzI"
"PTFC","WAS","2014-6-15","Iin99ep_4js"
"WNYF","CRS","2014-6-18","ouQ2qs8lhdQ"
"BOS","SRFC","2014-6-19","7xmu6FxAZIs"
"WAS","PTFC","2014-6-21","d2ntiNDdyxQ"
"FCKC","CRS","2014-6-21","GWQyznvTVS0"
"SBFC","BOS","2014-6-22","FANeAFOaxXY"
"WNYF","SRFC","2014-6-22","TgtFCghysKY"
"PTFC","SBFC","2014-6-25","jUJikP_dp0k"
"WNYF","BOS","2014-6-27","DTahZqEnhIw"
"FCKC","PTFC","2014-6-28","Xr8Oo08hnj4"
"HOU","WAS","2014-6-28","rlo-kADC8w4"
"SRFC","SBFC","2014-6-28","XVZ_uOb8gB8"
"WAS","BOS","2014-7-2","1G4LiLjMGTM"
"WNYF","SRFC","2014-7-2","-S2f55lTexM"
"PTFC","CRS","2014-7-4","ovwPnvEgAFY"
"HOU","WNYF","2014-7-5","e9liOL84kzM"
"SBFC","FCKC","2014-7-6","-u0zGVMT-7Q"
"SRFC","BOS","2014-7-6","yo_YTnKBGzY"
"CRS","PTFC","2014-7-9","elb-syjsw88"
"HOU","BOS","2014-7-11","a6DWQy4acq4"
"WNYF","WAS","2014-7-12","Ozr289SEWSA"
"CRS","SRFC","2014-7-12","i0I1eaBX6Fk"
"PTFC","FCKC","2014-7-13","PLNKiz6U7jU"
"CRS","PTFC","2014-7-17","VqxISF0w8ms"
"HOU","WAS","2014-7-17","qfnuhLKyMeY"
"WNYF","FCKC","2014-7-18","4k2gPqKTBOs"
"PTFC","BOS","2014-7-20","HpvJ98q4gjc"
"SBFC","WAS","2014-7-20","l21u93gIULc"
"SRFC","CRS","2014-7-20","uNY1pPFWKMI"
"WAS","PTFC","2014-7-23","pwr2pRkYj00"
"WNYF","BOS","2014-7-25","9jaad3ZWve8"
"CRS","HOU","2014-7-26","pLqva_n8Au4"
"FCKC","SBFC","2014-7-27","PyM2qnKqjG8"
"SRFC","PTFC","2014-7-27","Cw2GrXFsjX4"
"WAS","FCKC","2014-7-30","BFoTn_ukHpQ"
"HOU","SRFC","2014-7-30","d-JgLulnwr0"
"SBFC","WNYF","2014-7-31","PDvfSWL_0L0"
"WAS","CRS","2014-8-2","i4e-s4TPGrY"
"FCKC","SRFC","2014-8-2","iKpQIcBB8iI"
"BOS","WNYF","2014-8-3","4asCxx6VUfY"
"PTFC","HOU","2014-8-3",""
"FCKC","BOS","2014-8-6","zvG0gQErxhw"
"SRFC","HOU","2014-8-6","y-MtAN33_Ws"
"CRS","FCKC","2014-8-9","3f47DDGP4XI"
"HOU","SBFC","2014-8-9",""
"SRFC","WAS","2014-8-9","EvvLLfH9z10"
"BOS","PTFC","2014-8-10","pSroE2UMbnk"
"WNYF","SBFC","2014-8-13",""
"CRS","BOS","2014-8-13","KVRq5W1JZTE"
"WAS","SBFC","2014-8-16","bmG7M8iZM7E"
"CRS","WNYF","2014-8-16","fbagp26qCas"
"PTFC","SRFC","2014-8-17",""
"BOS","HOU","2014-8-17","wZ6Mn0gBRew"
"SBFC","HOU","2014-8-20","oXpDFs-ptZo"
"FCKC","PTFC","2014-8-23",""
"SRFC","WAS","2014-8-24",""
"SRFC","FCKC","2014-8-31",""
"HOU","WAS","2015-4-10","oFNUMEI6IBI"
"PTFC","BOS","2015-4-11","8rXqnzA58-A"
"FCKC","SBFC","2015-4-12","4jQiTYQSkHo"
